filename,obj_name,width,height,xmin,ymin,xmax,ymax,xmin_norm,y_min_norm,width_norm,height_norm
boat435.png,boat,502,476,48,193,148,296,0.0956175298804781,0.384462151394422,0.199203187250996,0.216386554621849
boat113.png,boat,352,262,185,144,224,195,0.525568181818182,0.409090909090909,0.110795454545455,0.194656488549618
boat367.png,boat,400,365,163,144,182,191,0.4075,0.36,0.0475,0.128767123287671
boat447.png,boat,380,352,189,210,207,241,0.497368421052632,0.552631578947368,0.0473684210526316,0.0880681818181818
boat447.png,boat,380,352,218,218,243,265,0.573684210526316,0.573684210526316,0.0657894736842105,0.133522727272727
boat7.png,boat,400,243,19,14,29,32,0.0475,0.035,0.025,0.0740740740740741
boat7.png,boat,400,243,99,94,111,101,0.2475,0.235,0.03,0.0288065843621399
boat7.png,boat,400,243,77,104,89,113,0.1925,0.26,0.03,0.037037037037037
boat7.png,boat,400,243,61,212,72,225,0.1525,0.53,0.0275,0.0534979423868313
boat7.png,boat,400,243,187,171,196,181,0.4675,0.4275,0.0225,0.0411522633744856
boat7.png,boat,400,243,202,122,215,131,0.505,0.305,0.0325,0.037037037037037
boat7.png,boat,400,243,246,103,261,114,0.615,0.2575,0.0375,0.0452674897119342
boat7.png,boat,400,243,274,80,290,89,0.685,0.2,0.04,0.037037037037037
boat7.png,boat,400,243,256,49,271,60,0.64,0.1225,0.0375,0.0452674897119342
boat161.png,boat,524,480,174,75,209,225,0.33206106870229,0.143129770992366,0.066793893129771,0.3125
boat158.png,boat,386,378,193,173,295,265,0.5,0.448186528497409,0.264248704663212,0.243386243386243
boat82.png,boat,506,458,191,154,231,199,0.377470355731225,0.304347826086957,0.0790513833992095,0.0982532751091703
boat623.png,boat,432,402,210,118,239,176,0.486111111111111,0.273148148148148,0.0671296296296296,0.144278606965174
boat623.png,boat,432,402,159,187,194,240,0.368055555555556,0.43287037037037,0.0810185185185185,0.131840796019901
boat211.png,boat,574,532,263,175,327,272,0.458188153310105,0.304878048780488,0.111498257839721,0.182330827067669
boat211.png,boat,574,532,100,141,181,215,0.174216027874564,0.245644599303136,0.141114982578397,0.139097744360902
boat413.png,boat,328,320,215,199,258,222,0.655487804878049,0.606707317073171,0.13109756097561,0.071875
boat239.png,boat,456,430,166,135,263,249,0.364035087719298,0.296052631578947,0.212719298245614,0.265116279069767
boat450.png,boat,492,458,207,162,305,225,0.420731707317073,0.329268292682927,0.199186991869919,0.137554585152838
boat210.png,boat,454,446,165,155,240,186,0.363436123348018,0.341409691629956,0.165198237885463,0.0695067264573991
boat205.png,boat,346,286,179,181,228,242,0.517341040462428,0.523121387283237,0.141618497109827,0.213286713286713
boat384.png,boat,400,369,48,232,59,242,0.12,0.58,0.0275,0.02710027100271
boat384.png,boat,400,369,244,128,256,138,0.61,0.32,0.03,0.02710027100271
boat21.png,boat,400,342,151,112,179,146,0.3775,0.28,0.07,0.0994152046783626
boat133.png,boat,400,243,269,32,282,42,0.6725,0.08,0.0325,0.0411522633744856
boat648.png,boat,400,358,219,140,245,179,0.5475,0.35,0.065,0.108938547486034
boat602.png,boat,542,508,244,189,350,289,0.450184501845018,0.348708487084871,0.195571955719557,0.196850393700787
boat592.png,boat,438,454,255,190,340,286,0.582191780821918,0.4337899543379,0.194063926940639,0.211453744493392
boat233.png,boat,476,472,227,203,353,254,0.476890756302521,0.426470588235294,0.264705882352941,0.108050847457627
boat159.png,boat,336,382,46,149,137,223,0.136904761904762,0.443452380952381,0.270833333333333,0.193717277486911
boat618.png,boat,400,370,157,110,227,270,0.3925,0.275,0.175,0.432432432432432
boat117.png,boat,380,400,163,291,214,375,0.428947368421053,0.765789473684211,0.134210526315789,0.21
boat629.png,boat,400,243,373,83,381,87,0.9325,0.2075,0.02,0.0164609053497942
boat629.png,boat,400,243,220,27,229,38,0.55,0.0675,0.0225,0.0452674897119342
boat629.png,boat,400,243,69,191,160,218,0.1725,0.4775,0.2275,0.111111111111111
boat646.png,boat,488,492,198,184,301,279,0.405737704918033,0.377049180327869,0.211065573770492,0.193089430894309
boat188.png,boat,524,456,196,198,243,253,0.374045801526718,0.377862595419847,0.0896946564885496,0.120614035087719
boat680.png,boat,397,400,253,114,297,171,0.63727959697733,0.287153652392947,0.110831234256927,0.1425
